id;titre;auteur;genre;URL
1;Requiem for a dream;Clint Mansell;musiques de film;https://www.youtube.com/watch?v=yVIRcnlRKF8&list=PLMrI-oQDDJouFkK8Q5obWSiw-lxJll4Ow
2;Titanic;Celine dion;musiques de film;https://www.youtube.com/watch?v=saalGKY7ifU&list=PLMrI-oQDDJouFkK8Q5obWSiw-lxJll4Ow&index=4
3;Harry Potter;John wiliams;musiques de film;https://www.youtube.com/watch?v=a7z8HGXVR80&list=PLMrI-oQDDJouFkK8Q5obWSiw-lxJll4Ow&index=8
4;Le parrain;Nino Rota;musiques de film;https://www.youtube.com/watch?v=HWqKPWO5T4o&list=PLMrI-oQDDJouFkK8Q5obWSiw-lxJll4Ow&index=15
5;Rocky;Survivor;musiques de film;https://www.youtube.com/watch?v=btPJPFnesV4&list=PLMrI-oQDDJouFkK8Q5obWSiw-lxJll4Ow&index=12
6;Pulp fiction;The Lively Ones;musiques de film;https://www.youtube.com/watch?v=P_uCgGv0QPY
7;Midnight express;Moroder;musiques de film;https://www.youtube.com/watch?v=bTHDa6Akqvo&list=PLMrI-oQDDJouFkK8Q5obWSiw-lxJll4Ow&index=26
8;1492, Christophe Colomb;Vangelis;musiques de film;https://www.youtube.com/watch?v=zziXZc_YE44
9;Gladiator;Hans Zimmer;musiques de film;https://www.youtube.com/watch?v=NBE-uBgtINg
10;Inception;Hans Zimmer;musiques de film;https://youtu.be/RxabLA7UQ9k?t=50
11;Interstellar;Hans Zimmer;musiques de film;https://youtu.be/IDsCtDRV2uA?t=10
12;Pirates des caraibes;Hans Zimmer;musiques de film;https://www.youtube.com/watch?v=zcQmM0HjMH8&t=2s
13;Le seigneur des annaux;Howard Shore;musiques de film;https://youtu.be/1iYEwFDLVnM
14;Indiana Jones;John wiliams;musiques de film;https://www.youtube.com/watch?v=-bTpp8PQSog
15;Star Wars;John wiliams;musiques de film;https://www.youtube.com/watch?v=-bzWSJG93P8
16;Lalaland;Justin Hurwitz;musiques de film;https://www.youtube.com/watch?v=CWnYIb2lqpo
17;James Bond;David Arnold;musiques de film;https://www.youtube.com/watch?v=U9FzgsF2T-s
18;The final countdown;Europe;annees 80;https://www.youtube.com/watch?v=9jK-NcRmVcw&list=PLh-IAXo-1-2MD3OSdQlKzO31LQDtE1OZF
19;Lose you to love me;Selena Gomez;pop;https://www.youtube.com/watch?v=zlJDTxahav0&list=PL4o29bINVT4EG_y-k5jGoOu3-Am8Nvi10
20;Take five;Dave Brubeck;jazz;https://www.youtube.com/watch?v=vmDDOFXSgAs&list=PL8F6B0753B2CCA128&index=2
21;Air;Bach;musique classique;https://www.youtube.com/watch?v=GMkmQlfOJDk&list=PLLl2XrT7OtRHy-VJabmD4TOPsAAErRt6o&index=4
22;Que calor;Major Lazer;electro;https://www.youtube.com/watch?v=ZBBS4imv1qo&list=PL4QNnZJr8sRNIgUnKED-HtaJT-y7gZIdv
23;Too much, too young, too fast;Airbourne;metal;https://www.youtube.com/watch?v=AkMZ6fV3T_0&feature=youtu.be&t=46
24;super mario bros;nintendo;jeu video;https://www.youtube.com/watch?v=uhscMsBhNhw
25;one punch man;Jam Project;anime/manga;https://www.youtube.com/watch?v=atxYe-nOa9w
26;Breaking Bad;Breaking Bad;serie;https://www.youtube.com/watch?v=3U6PSWyv5sc
27;Totally Spies;Totally Spies;dessin anime;https://www.youtube.com/watch?v=cG-tr6FGHns
28;Shape of You;Ed Sheeran;pop;https://youtu.be/JGwWNGJdvx8?list=PL4o29bINVT4EG_y-k5jGoOu3-Am8Nvi10
29;Mirai Nikki;Yousei Teikoku;anime/manga;https://youtu.be/ZZvJY7_gyfw
30;TNT;ACDC;metal;https://www.youtube.com/watch?v=44XYEeD1A1U
31;Super Smash Bros Brawl;Nintendo;jeu video;https://www.youtube.com/watch?v=zeKE0NHUtUw
32;Zelda;Nintendo;jeu video;https://www.youtube.com/watch?v=cGufy1PAeTU
33;Pokemon;Nintendo;jeu video;https://www.youtube.com/watch?v=PxzY57ImZdQ
34;Les dents de la mer;John Wiliams;musiques de film;https://www.youtube.com/watch?v=g18907r3w7A
35;Quand la musique est bonne;Jean Jacques Goldman;annees 80;https://www.youtube.com/watch?v=-boDeijWuOY&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2&index=2
36;Envole-moi;Jean Jacques Goldman;annees 80;https://youtu.be/oltptNDHocw?t=41
37;Puisque tu pars;Jean Jacques Goldman;Only JJ;https://www.youtube.com/watch?v=dc40M9DEVWI&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2
38;Quand la musique est bonne ;Jean Jacques Goldman;Only JJ;https://www.youtube.com/watch?v=-boDeijWuOY&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2&index=2
39;La-bas;Jean Jacques Goldman;Only JJ;https://www.youtube.com/watch?v=zFwaRmpzvjo&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2&index=3
40;Pas toi;Jean Jacques Goldman;Only JJ;https://www.youtube.com/watch?v=6XMyHym9vGs&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2&index=4
41;Je te donne;Jean Jacques Goldman;Only JJ;https://www.youtube.com/watch?v=493R05ifNsI&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2&index=5
42;Comme toi;Jean Jacques Goldman;Only JJ;https://www.youtube.com/watch?v=ySZBnMukO8g&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2&index=6
43;Envole_moi;Jean Jacques Goldman;Only JJ;https://www.youtube.com/watch?v=oltptNDHocw&list=PL_f6qMhVGy-sb5gbLYCtO79QKe2Odqoh2&index=7
44;Clouds in my sunshine;Redborne;blues;https://www.youtube.com/watch?v=u98V0cz9O3g
45;Don't want to say goodbye;Rasperries;blues;https://www.youtube.com/watch?v=LEa0cqlHl2I
46;can't help falling in love;Elvis Presley;blues;https://www.youtube.com/watch?v=vGJTaP6anOU
47;My sweet lord;George Harrisson;blues;https://www.youtube.com/watch?v=SP9wms6oEMo
48;Bang bang;Nancy Sinatra;blues;https://www.youtube.com/watch?v=U2LAdyE8lEU
49;Quelque chose de Tenessee;Johnny Hallyday;rock;https://www.youtube.com/watch?v=8Sc4Pb7d1Nk
50;Le professionnel;Chi Mai;musiques de film;https://www.youtube.com/watch?v=GUyjYC_Pv90
51;Nuit de folie;Début de soirée;pop;https://www.youtube.com/watch?v=p_ZxDNZjzVk
52;L'école Centrale;NX;production locale;https://www.youtube.com/watch?v=JwtO_jA9s14
53;So what;Miles Davis;jazz;https://www.youtube.com/watch?v=ZrfzenYhv9w&list=PL8F6B0753B2CCA128&index=3
54;Song for my father;horace silver;jazz;https://www.youtube.com/watch?v=CWeXOm49kE0&list=PL8F6B0753B2CCA128&index=4
55;The sidewinder;Lee Morgan;jazz;https://www.youtube.com/watch?v=qJi03NqXfk8&list=PL8F6B0753B2CCA128&index=5
56;Take the 'a' Train;Duke Ellington;jazz;https://www.youtube.com/watch?v=zGsGwFBoEgc&list=PL8F6B0753B2CCA128&index=12
57;Confirmation;Charlie Parker;jazz;https://www.youtube.com/watch?v=yXK0pZx92MU&list=PL8F6B0753B2CCA128&index=18
58;Crypt of the NecroDancer;Danny Baranowsky;jeu video;https://www.youtube.com/watch?v=t0u6FFlrmUA
59;Human;Rag n Bone Man;pop;https://www.youtube.com/watch?v=L3wKzyIN1yk
